date,P_GPCC,P_GPM,P_MSWEP,P_PERSIANN,ET_ERA5,ET_GLEAM,ET_MERRA,GRDC,GRACE_CSR,GRACE_GFZ,GRACE_JPL
200204,31.45917012,36.8299794,33.13331846,15.28984269,10.47231,15.71389466,17.6256,3.445957983617797,Unnamed: 9,Unnamed: 10,Unnamed: 11
200205,18.15263779,19.53479049,24.64934296,43.04616381,29.95443,54.55272844,58.32,35.23608865153538,15.14288250000001,30.81512530000001,27.48541499999999
200206,46.38531339,47.83451755,42.89466661,68.24608314,73.35528,73.2100549,87.6096,48.02270876483961,-45.67722073333331,-44.15365218333329,-47.3152056233333
200207,54.78068722,55.25761226,57.49042829,96.42463485,74.05101,70.46533814,88.9056,30.37201151806012,-45.67722073333339,-44.15365218333341,-47.31520562333338
200208,83.72530731,74.50085166,61.19763546,161.9153575,49.69818,51.10854246,57.28319999999999,27.82605950997726,-45.6772207333333,-44.15365218333331,-47.3152056233333
200209,53.30052357,56.35496155,44.02150389,119.3755944,24.14898,27.09939204,26.6976,33.36193849817775,-23.48656275,-22.67652317999999,-7.913688360000009
200210,47.67302269,51.77537554,32.61057349,164.3109609,5.33556,8.903412916,6.68736,26.00914978529932,10.76844054,-8.082240510000005,-7.659427000000001
200211,12.98693991,21.20344235,22.79645522,134.6797512,1.266,0.804387441,0.438048,18.69527895211634,30.48184482000001,24.00636033000001,22.8717152
200212,26.99219699,33.25942306,16.47330062,121.5025051,-0.42,0.320795052,-1.013472,7.404333157723811,19.81613358999999,26.96091211,28.02232143000001
200301,13.69144419,19.02633874,14.96886762,133.7065642,0.324,0.289946807,-0.0443232,5.695640890556779,10.88140469999999,3.768833700000002,-3.909674300000006
200302,28.43702259,35.27574865,29.63796236,81.48921005,0.879,1.956804141,0.943488,4.924899765453037,18.2163276,30.09624849999999,55.3008066
200303,15.90396411,19.62507097,19.58769873,83.18977157,3.34212,5.223738505,5.54688,4.473925623353661,28.0939276,39.4437399,16.44707539999999
200304,5.143666532,7.49517745,10.71035853,11.72016575,10.55295,22.53844464,18.81792,4.275813257316061,3.647613100000001,-5.961508299999991,-7.28797179999998
200305,16.00766548,18.82777318,26.01716418,59.72544794,33.54105000000001,49.22839419,53.136,29.59455493089886,-13.02729299999999,-8.956156099999987,-7.854619000000014
200306,34.90229474,35.86063932,42.12914098,72.03578252,75.56598,75.38796,91.2384,42.60511107422509,-48.50745422,-49.4862013,-46.11230469499999
200307,66.782306,66.49412757,66.83698086,66.0948221,75.79424999999999,69.16762281,92.79360000000001,34.34187218994696,-48.50745422,-49.4862013,-46.11230469500001
200308,54.25064498,54.87916099,58.11479964,85.02387801,51.89421,50.49209504,59.09759999999999,34.48426555046368,-30.98744102000001,-21.05692915,-26.06826109
200309,37.3132999,40.30542307,34.57747404,179.6753142,20.49786,23.82020852,26.9568,37.10511335474326,1.837941350000001,-3.531830229999997,-5.394512219999996
200310,19.94032021,26.6301404,26.0383355,110.54748,5.43903,9.004179746,7.56864,20.46728798758705,-5.039687120000004,-7.236290080000003,-9.123214920000002
200311,34.14183908,42.53452485,39.2512208,120.8781844,1.101,3.565195582,0.663552,9.481534067044349,28.10348392,23.45160943,25.58160004
200312,23.31715557,31.71561304,25.925,151.4962636,-0.1944,0.899461248,-0.08424,6.423261516255908,39.11052911,43.77394483,42.11788508000001
200401,15.17328669,19.60517853,14.81365591,121.1208284,0.2556,0.630169323,0.0681696,5.21008866596904,13.7718015,22.29705249999999,18.82019829999999
200402,13.80359356,18.01407477,20.02111048,90.86767578,0.42,1.696032868,1.109376,4.522193396600873,32.29583500000001,28.93245229999999,30.99039930000001
200403,19.89947769,24.27015809,20.86638546,121.9003482,3.43437,5.345074912,5.98752,4.190569913037202,14.4767147,6.340300400000018,11.1175045
200404,10.213553,13.73400797,15.89660529,64.67979365,11.71605,21.87641312,17.6256,4.327310937105329,19.43199569999999,18.45517959999998,18.93632049999999
200405,30.15846317,31.71802811,34.84487346,19.80183742,32.56914,53.37773824,54.9504,35.22469668386678,-15.63101159999999,-18.6055068,-22.0877764
200406,27.11731713,27.24446418,32.68206927,30.98517642,86.76662999999999,85.34320045,102.9024,53.00478348789377,-65.23135020000001,-65.79720479,-58.30631090999999
200407,38.98473543,40.13621764,49.12442408,78.8473325,73.03647,72.78237207,81.648,33.42772134377368,-80.9757793,-72.48254553999999,-80.78337434
200408,20.13229399,20.80298772,25.70222258,42.09116529,52.53168,50.23633353,59.8752,27.58969021037058,-41.62128082,-40.53095671,-47.31451654
200409,34.38239516,38.38346392,39.1479721,177.2602433,18.91071,21.08514681,24.07968,20.01657261213149,-25.5744724,-19.7288311,-21.16244546
200410,34.26488833,44.64526556,37.85568219,153.5008916,5.44956,9.221991747,5.002560000000001,13.29362814563562,38.602136386,6.039094200000001,30.08860878
200411,23.97680595,32.92863661,27.98736616,219.6865659,0.678,0.855097673,-0.1332288,9.505075596290549,28.778567624,40.002215499,33.12614143
200412,31.14415343,40.07404208,35.60707738,217.6824898,0.2724,1.131789504,0.279936,5.473513109371053,54.22115653,62.814679031,59.85816223
200501,23.74060666,29.44972544,24.94007138,148.547151,0.0909,0.673263309,-0.282528,4.278849868292859,27.86294518,38.91816530999999,26.11569095
200502,19.32150129,24.28784432,20.26412232,125.9095724,0.2688,1.984739461,0.55728,3.791414570779057,28.65761340000002,18.7233538,25.10342686
200503,12.76292177,18.59739391,18.55788449,96.50849185,4.34778,5.472000873,7.387199999999999,3.662296250856999,20.06728129999999,24.66448099999999,24.1043146
200504,8.785467675,11.06266019,13.04104478,56.42516559,9.635159999999999,22.03687704,17.6256,5.205720809728286,11.11720019999998,7.334631200000018,18.8969663
200505,29.54008372,31.103169,33.9319476,32.81270168,40.95459,60.43516463,61.4304,69.24476605203334,-25.51251779999998,-22.02774960000002,-23.07574059999999
200506,49.2053192,48.3690424,50.61530662,71.51936141,84.82032,79.34894015,96.6816,57.99274125500668,-74.28958879000001,-78.07787130999999,-71.26604356000001
200507,57.79771601,61.08336578,57.37441191,101.6657503,77.62416,70.74101653,87.09119999999999,37.47447623858839,-50.13347517,-57.582799339,-55.88720228
200508,37.33834037,36.29803793,38.36160772,116.2144192,50.10402,48.66588752,57.024,29.33540481362537,-40.72141969,-39.336986191,-49.36132019999999
200509,54.15913345,60.56960937,61.38936567,177.5521399,24.77196,24.9945717,25.45344,29.02432677804641,-13.85050033,-14.71629592,-9.98375355
200510,21.95930924,30.92454456,24.3163084,126.8305027,5.71596,7.462181274,6.68736,30.44890262331758,12.25391576,23.90737242,17.36605875
200511,30.95813942,37.98723315,36.30583225,195.3310122,1.695,1.316873791,1.277856,13.60432582542489,13.38467526,20.227636558,17.290208689
200512,20.89463717,26.82170406,21.32093202,129.4775603,-0.411,0.169757409,-0.9616319999999999,7.746073481759463,40.86689105,49.614138122,36.511818621
200601,10.85714286,14.84282736,7.550636762,105.5075153,-0.303,0.243532529,-0.461376,6.307923299534514,33.69778878,12.01023488,25.68790902
200602,22.08213717,24.44909683,22.52073329,56.0533288,1.377,0.821139583,1.876608,4.713652653989103,11.05803571,11.37966721,23.85731407
200603,9.619161966,13.17798671,11.37640737,31.44542396,3.3024,4.759553555,5.443199999999999,4.285970627503338,17.42512176,15.20955508999999,8.108480880000002
200604,12.23559225,18.26826617,19.60815217,84.29406208,11.98398,17.23674819,19.72512,4.05216405297153,9.084618500000005,20.65214078000001,13.34189836
200605,15.83520873,18.7345504,25.79182349,117.4269807,29.0511,53.38446096,52.8768,31.07542343304586,-0.1981660900000008,-2.000145799999999,-5.94188822000001
200606,47.61381083,49.46406382,50.46960983,98.78327743,70.70082,69.2253847,88.6464,50.33276847688811,-44.10462535,-56.89083109000001,-47.97622641
200607,47.23774218,48.56179839,52.40064487,99.46081012,74.38329,67.33461992,89.16480000000001,43.97320408472558,-55.7824497,-45.811536916,-41.297511507
200608,64.84141036,64.51408896,63.54802077,168.2215099,48.8208,49.2623837,55.728,34.43585124670732,-22.06682042,-19.184583784,-23.965058563
200609,29.1257588,31.5492769,36.36150633,241.8735776,26.37138,26.60754176,29.2896,35.10110287590661,-25.75934392,-23.13341651,-25.5880444
200610,35.00768603,44.24644734,40.67171885,180.2755605,7.05843,9.802473483,7.776,26.49897321834518,7.227050779999999,6.685901980000004,2.219853390000004
200611,11.12379619,14.01900023,10.81344906,65.09543775,1.227,0.41419529,0.435456,13.45424428968354,28.30430068,18.97880416,15.93591625
200612,18.47140897,27.25813339,22.7352328,212.1465693,-0.2139,0.757226729,-0.474336,5.342511716522932,16.051281814,25.686950286,28.674835012
200701,19.34825697,29.64775769,24.69304835,149.3511379,-0.1602,0.799577638,-0.1420416,4.149276368491322,38.885695026,17.281095824,36.190806798
200702,7.96118253,9.529310436,5.17123621,66.35314411,0.726,0.768913345,0.3888,3.75831114639339,1.082021739999995,24.06413289,5.24975586
200703,17.34124595,21.5549506,12.90838741,133.3254076,3.20427,4.77323524,5.23584,3.4786124634648,28.49153434,17.72634056,17.04128513
200704,10.46581992,13.06203564,13.73424724,73.90942914,14.44695,25.80283031,21.48768,3.887370230577707,-1.575119220000005,4.88800603,8.815207739999998
200705,16.19327006,18.60477905,21.73422291,46.08368185,37.62183,56.98207631,58.8384,29.99894484177101,-4.386623629999995,-10.81974811999999,-7.869945969999996
200706,44.16024003,42.12002385,44.8582049,39.78485638,78.05277,79.29577553,93.05279999999999,35.4012628297189,-63.250974181,-45.7003697,-54.830728111
200707,59.82876998,61.18257251,64.62441191,171.8471998,74.8401,76.72949718,89.16480000000001,32.34270345325298,-35.095096739,-53.00984806,-39.748354429
200708,51.17136913,51.67384904,47.14447193,38.68947966,53.74962,54.85004435,64.0224,36.33249850972468,-24.26956295,-21.86493951,-26.72824929
200709,45.83708835,49.79951009,50.52670344,176.7685971,25.02699,27.87212502,27.216,30.38682045249522,-14.11895039,-14.21899097000001,-20.6532569
200710,27.86450324,35.76646146,23.98386194,166.6690196,4.46826,8.176986783,5.41728,24.95830156244362,-6.855456070000002,-9.425908069999991,-4.269708809999997
200711,31.03644147,27.41083277,17.14091499,73.85002335,0.942,0.779914128,-0.352512,12.64204750117274,37.08132103000001,35.11619825,34.751319
200712,15.66995902,23.25088208,16.55704494,114.8113111,0.357,0.573917323,-0.269568,7.202139761122939,13.72644201,23.91447152,28.21237698
200801,18.1017111,25.86205065,19.56946788,106.9660538,0.396,0.623496801,0.917568,5.587710258723343,32.998349673,26.734111437,24.816127228
200802,13.01904119,19.07151142,12.59527093,114.0446247,0.618,1.590689695,0.8942399999999999,4.574249139393064,2.538652693,14.829128913,8.304240442
200803,14.29184477,20.40638992,21.65468851,83.52973208,3.72537,5.34235461,6.48,3.855096106520405,33.481184524,24.64786836,27.17421811
200804,18.16046135,24.94855744,25.7008355,81.65670644,10.70397,19.29782571,16.77024,3.609280265579331,28.13203252,25.48084606,21.08172687
200805,15.40692344,17.594918,26.77637897,56.47542672,32.8416,55.89918901,53.136,32.46088810305633,-6.173993000000003,-17.62123009,-9.814969939999997
200806,45.51973518,45.46755564,51.07781473,74.78742782,73.48622999999999,74.64811277,85.2768,44.93282303612023,-60.805011699,-53.436525812,-60.70140096
200807,73.2074312,74.99878334,73.4165477,121.1601775,72.52833,68.29421135,83.7216,36.02208765561289,-25.255631881,-24.924589878,-22.56953807
200808,40.66665824,42.77403721,51.20622972,93.79684316,47.25248999999999,48.05400873,56.24639999999999,39.24297165950998,-15.03454273,-13.4265422,-11.02575525
200809,31.50610836,32.77133217,34.98228829,137.6088655,22.71996,25.13365071,26.6976,29.50693592176956,-21.40514344,-20.81226538,-27.52492770999999
200810,32.27525546,41.41436312,34.22607479,221.917162,4.729979999999999,7.740126827,5.572800000000001,21.27322137624942,21.47256113,10.60066204,29.21790660999999
200811,20.56971178,27.95932694,17.79761518,117.3938944,0.2313,0.754568675,-0.448416,10.95732388409772,17.22374379,24.73540863,14.39539367
200812,21.6343633,27.03243625,19.75309053,78.96306046,0.2565,0.690686011,-0.001407456,7.327442052466351,17.006247779,33.561843279,24.679783015
200901,28.0805753,36.74976883,30.89740023,220.4449728,0.657,0.928055832,0.7827839999999999,6.216793793526503,31.521292551,21.663733151,26.859154245
200902,25.11581533,31.00213322,37.69634166,74.87588634,0.5910000000000001,2.417356683,1.14048,5.382074953992712,30.95708515,30.19868291,26.49865405
200903,20.5186033,25.81005451,21.75422615,72.73852539,3.30009,4.836805809,6.27264,4.767251643632952,29.78956346,22.39602780000001,38.44080383
200904,16.24813777,19.78643096,18.03588173,42.29725713,9.24735,19.68184164,16.4592,4.406764767437664,13.14843116,21.60096007,8.513348469999997
200905,21.05447567,21.76307305,21.08996999,32.70855978,33.55947,54.02675896,59.09759999999999,38.59936601594919,-12.7499239,0.2050654399999985,-10.8264509
200906,47.46531642,48.52808059,49.03241402,63.2608218,73.41234,73.39511299,88.3872,58.09867969544979,-76.71203137900001,-84.15775289,-77.15916858599999
200907,28.16804305,28.63890849,27.62033988,42.8595873,77.30060999999999,76.71417456,94.86720000000001,39.12906133583517,-59.63697557099999,-76.29235998,-72.633394314
200908,61.72298665,61.50907225,58.97361697,129.3969408,45.3291,49.27678174,53.136,24.42860936022806,-40.29104733,-35.83634335000001,-43.18734145999999
200909,30.85228652,31.69107293,36.21062622,157.4232762,24.75399,26.53353034,27.9936,24.15701973802908,-10.140067,-8.249499079999993,1.175210499999991
200910,19.15464545,26.02450563,21.92029121,141.2347465,5.43804,7.910770109,5.832,20.30211692707394,-9.292271200000002,5.207443479999995,2.064649700000004
200911,20.25218156,29.93865989,21.33604802,127.1880095,0.693,1.898702536,0.5184,9.52862024320716,31.40725195,27.57305829000001,21.63451834
200912,13.14490512,19.51287433,15.54953764,50.43521251,0.354,0.121672572,0.06739200000000001,6.803442716414678,35.72036069999999,36.65552074999999,32.9658647
201001,13.30881349,18.56915109,13.05665152,109.6819485,0.09179999999999999,0.502161339,-0.0614304,5.665739313679501,16.33601677,4.627948710000002,17.52551111
201002,8.112497154,9.621708925,8.162516223,46.08293882,0.381,1.14765288,0.2503872,4.767251643632952,-9.379660869999999,-12.039462,-1.409956489999999
201003,11.84818662,18.18587981,16.20974611,132.4074495,4.45575,5.388928819,6.16896,4.001190141810703,17.42696707,21.98500596,14.80876496
201004,13.23959176,17.45244468,17.50723151,34.02348792,13.34535,23.8287296,19.51776,3.810859481109949,14.235320653,31.41995755,13.36143355
201005,17.96593611,17.89582928,21.4968892,27.16142207,43.0686,57.77778931,63.504,27.89725463140043,3.679548784,-9.614243945,2.380446793
201006,50.3598366,54.94799981,56.82914909,72.48465099,73.60716,74.22936787,81.648,29.5039959585754,-64.516967777,-55.889365065,-52.277686573
201007,70.06380261,70.59908507,62.70278228,73.19164508,71.07039,68.40893019,84.75840000000001,31.11813863529752,-22.53248021,-28.50097656000001,-23.68918679
201008,49.50782831,51.21429498,55.19159637,57.9919009,51.36501,51.73713979,61.6896,39.03223272832245,-20.40896407,-22.71987876999999,-30.9712358
201009,27.84252327,27.87060176,28.33282365,123.9271612,22.67862,25.04106686,27.7344,34.25653219788547,-25.91775320000001,-26.16504540000001,-27.6954393
201010,21.21850339,28.34277667,22.77925454,168.0454738,4.55691,7.712251753,5.7024,16.71955821455635,-0.4054128999999875,4.93809610000001,4.761972400000019
201011,41.06973391,49.38538625,42.23944679,143.1277917,0.9480000000000001,2.25656438,0.0601344,7.218560531158662,35.65779726999999,28.20147626000001,30.28576499999998
201012,18.20231087,23.00761226,15.38990104,69.38740341,-0.0825,0.79197047,0.06661439999999999,5.652925688305127,38.86306565,32.26526987999999,34.35262783
201101,16.55214551,23.49709623,14.66893657,92.16092052,-0.1632,0.187863162,-0.546912,5.13889354454588,21.97378342,28.7249327835,28.015086385
201102,41.06395753,40.18186279,27.68163936,96.1177607,1.161,1.705053704,1.829952,4.70104167719121,21.97378342,28.7249327835,28.015086385
201103,8.135523637,8.74589883,4.968603991,36.50978685,3.56796,5.093797253,5.08032,4.305905012088189,14.954338567,13.297158774,1.668472095
201104,16.89387678,19.34777513,15.44630921,39.79540485,11.33511,19.08399809,18.144,4.294943282935806,12.844239073,12.589452169,8.976533964
201105,20.38968598,21.73087405,21.10676509,44.16579537,34.31427,59.12230129,55.46879999999999,29.42938075271533,-21.735334916,-27.84879847,-17.742415789
201106,63.15350567,68.09735741,59.33168803,93.06581182,72.68337,73.56183478,78.0192,47.89911495687944,-47.02313509200001,-42.476165775,-42.55888863499999
201107,64.2419314,66.71045844,66.41875406,70.50344981,72.13299,68.98793889,78.5376,40.66972987406633,-47.02313509199999,-42.47616577499999,-42.558888635
201108,60.13129173,59.51985595,61.82033177,132.5812245,50.80989,50.78715482,55.46879999999999,40.54727401580486,-7.5493989,-2.61978744000001,-10.74400110000001
201109,31.28950197,28.97693003,36.03803942,133.566194,26.69469,26.26910112,28.512,32.75867550968859,-24.3961292,-22.24227628999999,-15.60180349999999
201110,23.96543024,34.09316803,24.63148524,157.9113239,4.67964,7.228210032,5.72832,21.9168301374806,-12.12299619999999,-20.44483050000001,-15.29276580000001
201111,21.69724428,29.50934803,22.70438838,104.158702,0.9,1.917669717,0.425088,9.981801695954967,21.9639306,15.7250913,27.1546013
201112,32.47098847,44.38601486,46.42113076,156.5839207,0.2637,0.913923292,0.88128,6.504423829971494,93.43868903,97.86860475,90.44481151000001
201201,28.57263633,35.27933781,20.34589552,132.7331968,-0.1131,1.13771715,0.1622592,5.618749785299319,9.609256109999997,19.474266155,8.37234616
