Basin,index,method,PBIAS,CC,RMSE,ME,ME1,MAE,MAPE
1159100,P,P,6.421782245601061,0.9650578929770447,7.900039683776962,2.2375378152734315,25.648393998224172,5.152749441232159,21.93481863617606
1159100,P,MSD,0.939188340267132,0.9973188052348119,2.3787146532087804,0.32814920210656146,26.088041150673394,1.0916444991486014,7.1677962925738505
1159100,P,PR,-0.36394456117298224,0.9950070076096988,3.1720710456789867,-0.12713748115245802,26.06473325884424,1.4508413724610802,19.759279766240322
1159100,P,MCL,0.3080517318907001,0.9928712432175428,3.787762693702531,0.10761232735834429,26.018621689315328,1.9466834399304551,15.551207222134975
1159100,P,CKF,0.7746434734052604,0.9947755585910634,3.247917414640261,0.2706077532317499,25.986604730661625,1.6005710205632342,20.792419354916188
1159100,E,MSD,10.452872656088061,0.8549597475984716,14.908792993473096,3.719024083528284,21.61625485247629,10.577985855010471,158.25378151209352
1159100,E,PR,15.516520334002248,0.8335233880152129,16.00313399344978,5.527573420663196,21.55047974763251,10.22689744465763,76.24601297368295
1159100,E,MCL,12.53508879602452,0.8361349931712018,15.50591589858032,4.465474356561888,21.54848330877737,10.177406205760919,132.9129011212465
1159100,E,ET,10.946885193349447,0.832346109054989,15.71902694106572,3.896481979679771,21.498253269482902,11.292156419686075,167.75060562139137
1159100,E,CKF,14.42138894262409,0.7786950212505118,17.581049893813596,5.1374460570009575,21.536386905784436,11.229421823590975,108.96472157991076
1159100,R,MSD,0.056051339106856765,0.9999973736571355,0.0020610368581235367,0.00019546002388199388,0.43181368683451954,0.0003077366152513123,0.0624606823895642
1159100,R,PR,2.5729295579337377,0.9958397539831993,0.08795294147110408,0.00896540608988008,0.4240301756321807,0.030340445153957826,9.175055080740517
1159100,R,MCL,1.565354779994884,0.9957188471373138,0.09226042188097697,0.005454498835428455,0.4264152358757532,0.030653857507094522,8.970303287348475
1159100,R,GRDC,,,,,,,
1159100,R,CKF,-0.7724187812417791,0.9815523576156243,0.13476826140132406,-0.0026915031637493197,0.43194017054907546,0.026451787567055542,6.846729169026236
1159100,S,MSD,58.31006199680231,0.8444173579476907,6.27574439832888,-0.013041717713720598,8.160497951074085,4.260915854535138,160.70000667158536
1159100,S,PR,-674.9083455159787,0.8344338665948996,6.439515046824623,0.5244019472689838,8.159384881351636,4.405417214159344,171.27383366730612
1159100,S,GRACE,9.473903143468003e-14,0.8257342422718633,7.311701168800077,-7.401486830834377e-17,8.17037188592028,5.050463104858134,193.04434035409517
1159100,S,MCL,-418.0514169738911,0.8268204444066314,6.507556960997844,0.32482481299303484,8.173860904502327,4.256968890875386,156.4993117223597
1159100,S,CKF,-700.743463526319,0.8457217036831497,6.169094038921724,0.5444757636361363,8.164305128229117,4.102379033062181,151.5065052681518
1234150,P,P,7.903105069195325,0.9602067065610609,22.901135983847997,4.939060210252825,63.23497793460956,13.095487206317424,inf
1234150,P,MSD,0.9524800038340925,0.9992056390560706,3.2028761501519374,0.5990476414456881,64.80591806964283,1.089041328236907,inf
1234150,P,PR,0.4813213099165475,0.9974300926883338,5.739932884820627,0.30191345106828116,64.72309508658869,2.3466443283047136,inf
1234150,P,MCL,1.0308649924178563,0.9955184710927513,7.348218655322248,0.6466200457659242,64.61229653829304,3.120481649899398,inf
1234150,P,CKF,-0.9077244529286982,0.9973499950730328,6.032292866729425,-0.5693789503113564,65.00315335846074,2.9489323726715333,inf
1234150,E,MSD,27.532063522236964,0.7056585525718871,41.965003280428704,16.326288176238876,36.77632294265712,27.268679703807702,97.63466164383533
1234150,E,PR,28.89729930043698,0.5512850049283109,46.24970869486584,17.110754077171737,36.42030390903051,26.11008541283518,76.12124134251256
1234150,E,MCL,28.507373621152986,0.5370159422326248,46.26761400044019,16.87987013410022,36.62608507170382,27.706040671364356,93.64897709193393
1234150,E,ET,28.14162580564411,0.693032442729815,42.46452120779593,16.611013763542726,36.57414933933447,27.76917703359594,99.62857858098145
1234150,E,CKF,32.52579848775492,0.43125516030636224,50.095119084591,19.25927171606666,36.42764514727466,28.20436153217659,86.04127953409504
1234150,R,MSD,-0.009460374647765746,0.999999144521936,0.002780420861487812,-0.00032487830027660454,2.075853901709357,0.0007124811849414534,0.033640610115702546
1234150,R,PR,-0.8351447530181546,0.9853714588688361,0.40843988479000326,-0.028567206442983266,2.0796872576387373,0.30810514759034346,9.073479873200814
1234150,R,MCL,-0.4436617321616041,0.9887155313581756,0.35256951459715274,-0.015176023375239458,2.080476987564978,0.25863687922381784,8.259507200928878
1234150,R,GRDC,,,,,,,
1234150,R,CKF,1.5345299550082538,0.8676112547112542,1.2391127626595209,0.05249058185331098,2.0852867940650857,0.2612681601367377,20.33785629207728
1234150,S,MSD,-76.95880825796311,0.9866414298027334,6.354918390374738,-0.7319407686236041,31.72768831384254,4.35266413418344,55.8466050352708
1234150,S,PR,-67.81569579880653,0.9834135331045802,7.057715653250258,-0.5970558636042851,31.609057535015918,4.471715380539283,52.94160695608993
1234150,S,GRACE,2.516505522483688e-14,0.9859114460671942,6.431556541121204,2.220446049250313e-16,31.45933299592113,4.517938572136905,59.12265670022736
1234150,S,MCL,-58.887064120019346,0.9834727078023244,7.139488671551755,-0.5184473374365617,31.591268431184762,4.668017782136264,56.99767187519568
1234150,S,CKF,-35.76981002406531,0.9830279333981186,7.021726521011343,-0.3149208242032867,31.53806320197195,4.41981524954597,53.03600947326409
2180800,P,P,9.582892142199405,0.9618657707614455,10.854703824362812,4.5236686306226375,33.18394761316124,6.280844865994169,18.46804197062624
2180800,P,MSD,2.6541813420349323,0.9934854590845976,5.121055990641298,1.251997887709056,33.4956081733393,2.9129534266305694,11.48956615088447
2180800,P,PR,0.5357855514779124,0.9948628287063591,4.089975602754448,0.25330285219703,33.54601841775593,1.9048182119632924,8.455415604652666
2180800,P,MCL,2.6713591409576165,0.9913814930746043,5.664706209916321,1.2629360530172258,33.464837140807504,3.1387358870938935,9.344651696715788
2180800,P,CKF,0.1560975269322985,0.9900887415386437,5.595515760859857,0.07379808709620263,33.56189747328489,2.555712141249949,8.80050550688595
2180800,E,MSD,15.797831641066004,0.8512212010880068,19.000243775651853,7.089695613560201,27.579243420804563,12.9815551203182,75.18104148775538
2180800,E,PR,22.5504761488455,0.7666914655421727,23.40921684048131,10.142707575471007,27.75504943591554,14.462683928598917,67.7239876560131
2180800,E,MCL,18.62024014975882,0.785150060794262,21.97792760590455,8.37497397294279,27.600628412573442,13.744521991775505,78.22431907466381
2180800,E,ET,16.82310672967885,0.793996857540833,21.626784470870234,7.560878428722737,27.54416874872489,15.433832252280467,92.12015712320739
2180800,E,CKF,20.94458926660003,0.7565886382983331,23.36743103345933,9.42041501994399,27.66277513698441,14.528890568219957,77.92026019415454
2180800,R,MSD,0.09195295383199216,0.9962495159970124,0.05748391877204351,0.002832329605240859,1.2269802530041123,0.00833539296596886,0.36249838682452495
2180800,R,PR,2.9801691993954593,0.9844095138655518,0.3113520958764868,0.09172927077749822,1.2036693050995892,0.24343203490886417,8.06876901302819
2180800,R,MCL,1.6290186977456789,0.9800182790357059,0.3398128639712359,0.050141011207495596,1.2126532736538247,0.2654194549444127,8.661600968174277
2180800,R,GRDC,,,,,,,
2180800,R,CKF,3.4730764296641348,0.9645968176887995,0.43769281226202505,0.10690089955705673,1.201337111718991,0.20644176812749684,7.3875766860907355
2180800,S,MSD,-34.71244591745468,0.9051379048867246,5.853903368621717,0.08107284479818495,10.180417321886884,3.8355531825726206,372.93173919504005
2180800,S,PR,-228.12017900161845,0.9066935325891919,5.763449642478811,0.5197332199033012,10.083089512765554,3.884629620434368,341.0334639751419
2180800,S,GRACE,-1.8355687340469256e-14,0.8939594074327566,6.596213363952827,4.0476881106125497e-17,10.132250328420156,4.566636226263888,415.7439387338066
2180800,S,MCL,-228.6286243817942,0.8929774388687205,6.33079316599585,0.5208916266507455,10.097461299330377,4.0534145805601485,376.4583396898049
2180800,S,CKF,-369.20114511376704,0.9030204651394066,5.897896561588087,0.8411623240949794,10.065843835528518,3.7367278166377593,383.6944910219931
