basinID,abnormal,method,component,percentage
1159100,r1,PR,P,0.0
1159100,r1,CKF,P,0.0
1159100,r1,MCL,P,0.0
1159100,r1,MSD,P,0.0
1159100,r1,PR,E,5.1959325396825395
1159100,r1,CKF,E,8.22172619047619
1159100,r1,MCL,E,8.122519841269842
1159100,r1,MSD,E,6.078724464374688
1159100,r1,PR,R,1.8353174603174605
1159100,r1,CKF,R,0.8804563492063492
1159100,r1,MCL,R,1.4012896825396826
1159100,r1,MSD,R,0.9217737917289488
1159100,r1,PR,S,16.05902777777778
1159100,r1,CKF,S,12.834821428571427
1159100,r1,MCL,S,18.253968253968253
1159100,r1,MSD,S,15.171898355754859
1159100,r2,PR,P,5.828373015873016
1159100,r2,CKF,P,1.922123015873016
1159100,r2,MCL,P,5.803571428571429
1159100,r2,MSD,P,4.484304932735426
1159100,r2,PR,E,7.0436507936507935
1159100,r2,CKF,E,3.273809523809524
1159100,r2,MCL,E,6.25
1159100,r2,MSD,E,4.820627802690583
1159100,r2,PR,R,41.245039682539684
1159100,r2,CKF,R,25.210813492063494
1159100,r2,MCL,R,41.64186507936508
1159100,r2,MSD,R,37.120079720976584
1159100,r2,PR,S,15.612599206349206
1159100,r2,CKF,S,17.038690476190478
1159100,r2,MCL,S,24.76438492063492
1159100,r2,MSD,S,20.291479820627803
1234150,r1,PR,P,0.0
1234150,r1,CKF,P,0.0
1234150,r1,MCL,P,0.0
1234150,r1,MSD,P,0.0
1234150,r1,PR,E,2.8273809523809526
1234150,r1,CKF,E,2.666170634920635
1234150,r1,MCL,E,3.356481481481482
1234150,r1,MSD,E,2.927254608868959
1234150,r1,PR,R,5.654761904761905
1234150,r1,CKF,R,4.898313492063492
1234150,r1,MCL,R,8.035714285714286
1234150,r1,MSD,R,5.032386646736422
1234150,r1,PR,S,7.787698412698413
1234150,r1,CKF,S,8.742559523809524
1234150,r1,MCL,S,11.73941798941799
1234150,r1,MSD,S,9.005979073243648
1234150,r2,PR,P,4.278273809523809
1234150,r2,CKF,P,2.554563492063492
1234150,r2,MCL,P,2.9596560846560847
1234150,r2,MSD,P,2.566018933731938
1234150,r2,PR,E,3.546626984126984
1234150,r2,CKF,E,2.1825396825396823
1234150,r2,MCL,E,3.356481481481482
1234150,r2,MSD,E,2.5411061285500747
1234150,r2,PR,R,53.596230158730165
1234150,r2,CKF,R,32.27926587301587
1234150,r2,MCL,R,49.636243386243386
1234150,r2,MSD,R,49.937717987045346
1234150,r2,PR,S,41.81547619047619
1234150,r2,CKF,S,36.904761904761905
1234150,r2,MCL,S,44.99007936507937
1234150,r2,MSD,S,44.63129048330842
2180800,r1,PR,P,0.0
2180800,r1,CKF,P,0.0
2180800,r1,MCL,P,0.0
2180800,r1,MSD,P,0.0
2180800,r1,PR,E,4.575892857142857
2180800,r1,CKF,E,6.374007936507936
2180800,r1,MCL,E,6.882440476190476
2180800,r1,MSD,E,7.573492775286497
2180800,r1,PR,R,5.158730158730158
2180800,r1,CKF,R,4.6999007936507935
2180800,r1,MCL,R,4.563492063492063
2180800,r1,MSD,R,3.8365719980069755
2180800,r1,PR,S,14.98015873015873
2180800,r1,CKF,S,12.797619047619047
2180800,r1,MCL,S,19.518849206349206
2180800,r1,MSD,S,19.606377678126556
2180800,r2,PR,P,4.501488095238095
2180800,r2,CKF,P,1.2524801587301588
2180800,r2,MCL,P,5.295138888888888
2180800,r2,MSD,P,4.895366218236173
2180800,r2,PR,E,4.129464285714286
2180800,r2,CKF,E,2.4429563492063493
2180800,r2,MCL,E,4.017857142857143
2180800,r2,MSD,E,3.051818634778276
2180800,r2,PR,R,44.17162698412698
2180800,r2,CKF,R,31.969246031746028
2180800,r2,MCL,R,42.91914682539682
2180800,r2,MSD,R,35.84952665670155
2180800,r2,PR,S,21.044146825396826
2180800,r2,CKF,S,22.22222222222222
2180800,r2,MCL,S,29.501488095238095
2180800,r2,MSD,S,30.966616841056304
2181900,r1,PR,P,0.0
2181900,r1,CKF,P,0.0
2181900,r1,MCL,P,0.0
2181900,r1,MSD,P,0.0
2181900,r1,PR,E,3.5094246031746033
2181900,r1,CKF,E,3.881448412698413
2181900,r1,MCL,E,2.5111607142857144
2181900,r1,MSD,E,5.007473841554559
2181900,r1,PR,R,0.0
2181900,r1,CKF,R,0.0
2181900,r1,MCL,R,0.0
2181900,r1,MSD,R,0.0
2181900,r1,PR,S,7.3040674603174605
2181900,r1,CKF,S,4.228670634920635
2181900,r1,MCL,S,6.268601190476191
2181900,r1,MSD,S,6.464872944693573
2181900,r2,PR,P,4.104662698412699
2181900,r2,CKF,P,1.1036706349206349
2181900,r2,MCL,P,2.7901785714285716
2181900,r2,MSD,P,3.624813153961136
2181900,r2,PR,E,1.1656746031746033
2181900,r2,CKF,E,0.9672619047619048
2181900,r2,MCL,E,1.8229166666666667
2181900,r2,MSD,E,0.8844045839561535
2181900,r2,PR,R,20.672123015873016
2181900,r2,CKF,R,16.505456349206348
2181900,r2,MCL,R,18.024553571428573
2181900,r2,MSD,R,18.85899352267065
2181900,r2,PR,S,11.359126984126984
2181900,r2,CKF,S,9.151785714285714
2181900,r2,MCL,S,13.616071428571427
2181900,r2,MSD,S,17.551071250622822
2909150,r1,PR,P,0.0
2909150,r1,CKF,P,0.0
2909150,r1,MCL,P,0.0
2909150,r1,MSD,P,0.0
2909150,r1,PR,E,12.475198412698413
2909150,r1,CKF,E,11.061507936507937
2909150,r1,MCL,E,14.868551587301587
2909150,r1,MSD,E,14.524165421026408
2909150,r1,PR,R,0.496031746031746
2909150,r1,CKF,R,0.0744047619047619
2909150,r1,MCL,R,0.0
2909150,r1,MSD,R,0.024912805181863475
2909150,r1,PR,S,4.885912698412699
2909150,r1,CKF,S,3.39781746031746
2909150,r1,MCL,S,4.811507936507937
2909150,r1,MSD,S,4.409566517189836
2909150,r2,PR,P,4.513888888888888
2909150,r2,CKF,P,1.277281746031746
2909150,r2,MCL,P,3.5094246031746033
2909150,r2,MSD,P,3.4628799202790232
2909150,r2,PR,E,2.108134920634921
2909150,r2,CKF,E,1.3764880952380951
2909150,r2,MCL,E,3.6830357142857144
2909150,r2,MSD,E,2.1175884404583956
2909150,r2,PR,R,11.21031746031746
2909150,r2,CKF,R,6.15079365079365
2909150,r2,MCL,R,10.143849206349206
2909150,r2,MSD,R,5.418535127055306
2909150,r2,PR,S,5.815972222222222
2909150,r2,CKF,S,5.667162698412699
2909150,r2,MCL,S,9.598214285714286
2909150,r2,MSD,S,10.650224215246636
2912600,r1,PR,P,0.0
2912600,r1,CKF,P,0.0
2912600,r1,MCL,P,0.0
2912600,r1,MSD,P,0.0
2912600,r1,PR,E,7.03125
2912600,r1,CKF,E,7.663690476190476
2912600,r1,MCL,E,11.272321428571429
2912600,r1,MSD,E,8.084205281514699
2912600,r1,PR,R,2.7777777777777777
2912600,r1,CKF,R,1.5004960317460319
2912600,r1,MCL,R,0.7068452380952381
2912600,r1,MSD,R,1.8809167912306926
2912600,r1,PR,S,5.295138888888888
2912600,r1,CKF,S,6.349206349206349
2912600,r1,MCL,S,6.119791666666666
2912600,r1,MSD,S,7.149975087194818
2912600,r2,PR,P,6.584821428571429
2912600,r2,CKF,P,3.2366071428571432
2912600,r2,MCL,P,8.035714285714286
2912600,r2,MSD,P,5.617837568510215
2912600,r2,PR,E,2.0709325396825395
2912600,r2,CKF,E,0.818452380952381
2912600,r2,MCL,E,6.6778273809523805
2912600,r2,MSD,E,2.2546088689586448
2912600,r2,PR,R,30.505952380952383
2912600,r2,CKF,R,20.200892857142858
2912600,r2,MCL,R,24.925595238095237
2912600,r2,MSD,R,24.14050822122571
2912600,r2,PR,S,22.209821428571427
2912600,r2,CKF,S,21.862599206349206
2912600,r2,MCL,S,23.642113095238095
2912600,r2,MSD,S,24.950174389636274
3265601,r1,PR,P,0.0
3265601,r1,CKF,P,0.0
3265601,r1,MCL,P,0.0
3265601,r1,MSD,P,0.0
3265601,r1,PR,E,2.4677579365079363
3265601,r1,CKF,E,3.0257936507936507
3265601,r1,MCL,E,2.7447089947089944
3265601,r1,MSD,E,2.590931738913802
3265601,r1,PR,R,0.5952380952380952
3265601,r1,CKF,R,0.5952380952380952
3265601,r1,MCL,R,0.496031746031746
3265601,r1,MSD,R,0.57299451918286
3265601,r1,PR,S,3.2118055555555554
3265601,r1,CKF,S,3.968253968253968
3265601,r1,MCL,S,6.283068783068783
3265601,r1,MSD,S,3.7369207772795217
3265601,r2,PR,P,5.121527777777778
3265601,r2,CKF,P,2.294146825396825
3265601,r2,MCL,P,4.679232804232805
3265601,r2,MSD,P,4.08570004982561
3265601,r2,PR,E,2.604166666666667
3265601,r2,CKF,E,1.3020833333333335
3265601,r2,MCL,E,2.4636243386243386
3265601,r2,MSD,E,0.5356253114100648
3265601,r2,PR,R,38.96329365079365
3265601,r2,CKF,R,32.68849206349206
3265601,r2,MCL,R,41.31944444444444
3265601,r2,MSD,R,37.55605381165919
3265601,r2,PR,S,27.00892857142857
3265601,r2,CKF,S,25.260416666666668
3265601,r2,MCL,S,32.29166666666667
3265601,r2,MSD,S,27.379172894867963
3629001,r1,PR,P,0.0
3629001,r1,CKF,P,0.0
3629001,r1,MCL,P,0.0
3629001,r1,MSD,P,0.0
3629001,r1,PR,E,27.07093253968254
3629001,r1,CKF,E,27.021329365079367
3629001,r1,MCL,E,27.61656746031746
3629001,r1,MSD,E,27.09267563527653
3629001,r1,PR,R,0.0
3629001,r1,CKF,R,0.0
3629001,r1,MCL,R,0.0
3629001,r1,MSD,R,0.0
3629001,r1,PR,S,0.6448412698412698
3629001,r1,CKF,S,0.4464285714285714
3629001,r1,MCL,S,0.6944444444444444
3629001,r1,MSD,S,0.3487792725460887
3629001,r2,PR,P,1.1780753968253967
3629001,r2,CKF,P,0.6448412698412698
3629001,r2,MCL,P,0.5704365079365079
3629001,r2,MSD,P,1.1833582461385153
3629001,r2,PR,E,1.215277777777778
3629001,r2,CKF,E,1.4508928571428572
3629001,r2,MCL,E,1.3020833333333335
3629001,r2,MSD,E,0.13702042850024912
3629001,r2,PR,R,1.984126984126984
3629001,r2,CKF,R,0.8680555555555556
3629001,r2,MCL,R,1.9345238095238095
3629001,r2,MSD,R,1.6068759342301941
3629001,r2,PR,S,2.8521825396825395
3629001,r2,CKF,S,1.0540674603174605
3629001,r2,MCL,S,5.56795634920635
3629001,r2,MSD,S,2.615844544095665
4103200,r1,PR,P,0.0
4103200,r1,CKF,P,0.0
4103200,r1,MCL,P,0.0
4103200,r1,MSD,P,0.0
4103200,r1,PR,E,8.18452380952381
4103200,r1,CKF,E,6.547619047619048
4103200,r1,MCL,E,17.782738095238095
4103200,r1,MSD,E,11.472346786248131
4103200,r1,PR,R,2.591765873015873
4103200,r1,CKF,R,1.847718253968254
4103200,r1,MCL,R,1.4632936507936507
4103200,r1,MSD,R,1.5445939212755355
4103200,r1,PR,S,5.109126984126984
4103200,r1,CKF,S,4.253472222222222
4103200,r1,MCL,S,5.109126984126984
4103200,r1,MSD,S,4.833084205281515
4103200,r2,PR,P,2.1453373015873014
4103200,r2,CKF,P,0.9052579365079366
4103200,r2,MCL,P,0.8432539682539683
4103200,r2,MSD,P,1.669157947184853
4103200,r2,PR,E,1.2524801587301588
4103200,r2,CKF,E,1.0168650793650793
4103200,r2,MCL,E,13.244047619047619
4103200,r2,MSD,E,6.141006477329347
4103200,r2,PR,R,17.708333333333336
4103200,r2,CKF,R,15.215773809523808
4103200,r2,MCL,R,15.004960317460316
4103200,r2,MSD,R,13.88888888888889
4103200,r2,PR,S,11.5203373015873
4103200,r2,CKF,S,10.949900793650794
4103200,r2,MCL,S,14.930555555555555
4103200,r2,MSD,S,15.284005979073243
4115201,r1,PR,P,0.0
4115201,r1,CKF,P,0.0
4115201,r1,MCL,P,0.0
4115201,r1,MSD,P,0.0
4115201,r1,PR,E,15.48859126984127
4115201,r1,CKF,E,14.484126984126986
4115201,r1,MCL,E,16.964285714285715
4115201,r1,MSD,E,17.438963627304435
4115201,r1,PR,R,0.1488095238095238
4115201,r1,CKF,R,0.0
4115201,r1,MCL,R,0.0
4115201,r1,MSD,R,0.0
4115201,r1,PR,S,3.373015873015873
4115201,r1,CKF,S,2.5421626984126986
4115201,r1,MCL,S,2.492559523809524
4115201,r1,MSD,S,4.309915296462382
4115201,r2,PR,P,2.0709325396825395
4115201,r2,CKF,P,1.215277777777778
4115201,r2,MCL,P,1.3764880952380951
4115201,r2,MSD,P,1.669157947184853
4115201,r2,PR,E,2.604166666666667
4115201,r2,CKF,E,1.6245039682539684
4115201,r2,MCL,E,4.910714285714286
4115201,r2,MSD,E,1.7065271549576482
4115201,r2,PR,R,13.355654761904761
4115201,r2,CKF,R,5.915178571428571
4115201,r2,MCL,R,11.569940476190476
4115201,r2,MSD,R,1.3203786746387642
4115201,r2,PR,S,7.006448412698413
4115201,r2,CKF,S,6.622023809523809
4115201,r2,MCL,S,8.59375
4115201,r2,MSD,S,14.424514200298955
4127800,r1,PR,P,0.0
4127800,r1,CKF,P,0.0
4127800,r1,MCL,P,0.0
4127800,r1,MSD,P,0.0
4127800,r1,PR,E,8.122519841269842
4127800,r1,CKF,E,8.134920634920634
4127800,r1,MCL,E,8.7890625
4127800,r1,MSD,E,8.968609865470851
4127800,r1,PR,R,0.248015873015873
4127800,r1,CKF,R,0.0496031746031746
4127800,r1,MCL,R,0.0
4127800,r1,MSD,R,0.0
4127800,r1,PR,S,5.158730158730158
4127800,r1,CKF,S,4.997519841269842
4127800,r1,MCL,S,8.314732142857142
4127800,r1,MSD,S,7.561036372695565
4127800,r2,PR,P,12.065972222222223
4127800,r2,CKF,P,6.634424603174603
4127800,r2,MCL,P,9.626116071428571
4127800,r2,MSD,P,11.210762331838566
4127800,r2,PR,E,2.6413690476190474
4127800,r2,CKF,E,1.7237103174603177
4127800,r2,MCL,E,2.9296875
4127800,r2,MSD,E,1.5321375186846038
4127800,r2,PR,R,23.47470238095238
4127800,r2,CKF,R,16.307043650793652
4127800,r2,MCL,R,27.34375
4127800,r2,MSD,R,13.016940707523666
4127800,r2,PR,S,18.328373015873016
4127800,r2,CKF,S,15.79861111111111
4127800,r2,MCL,S,27.28794642857143
4127800,r2,MSD,S,27.95216741405082
4146281,r1,PR,P,0.0
4146281,r1,CKF,P,0.0
4146281,r1,MCL,P,0.0
4146281,r1,MSD,P,0.0
4146281,r1,PR,E,14.260912698412698
4146281,r1,CKF,E,13.938492063492063
4146281,r1,MCL,E,20.436507936507937
4146281,r1,MSD,E,15.881913303437967
4146281,r1,PR,R,5.803571428571429
4146281,r1,CKF,R,3.5094246031746033
4146281,r1,MCL,R,2.1205357142857144
4146281,r1,MSD,R,2.441454907822621
4146281,r1,PR,S,9.362599206349206
4146281,r1,CKF,S,9.486607142857142
4146281,r1,MCL,S,12.67361111111111
4146281,r1,MSD,S,12.630792227204784
4146281,r2,PR,P,3.050595238095238
4146281,r2,CKF,P,2.976190476190476
4146281,r2,MCL,P,4.625496031746032
4146281,r2,MSD,P,2.7902341803687096
4146281,r2,PR,E,1.7485119047619049
4146281,r2,CKF,E,2.2817460317460316
4146281,r2,MCL,E,2.2073412698412698
4146281,r2,MSD,E,1.71898355754858
4146281,r2,PR,R,28.348214285714285
4146281,r2,CKF,R,19.29563492063492
4146281,r2,MCL,R,24.069940476190478
4146281,r2,MSD,R,16.442451420029897
4146281,r2,PR,S,18.898809523809522
4146281,r2,CKF,S,19.09722222222222
4146281,r2,MCL,S,24.04513888888889
4146281,r2,MSD,S,24.14050822122571
4146360,r1,PR,P,0.0
4146360,r1,CKF,P,0.0
4146360,r1,MCL,P,0.0
4146360,r1,MSD,P,0.0
4146360,r1,PR,E,11.272321428571429
4146360,r1,CKF,E,12.611607142857142
4146360,r1,MCL,E,14.012896825396826
4146360,r1,MSD,E,13.664673642252117
4146360,r1,PR,R,2.9265873015873014
4146360,r1,CKF,R,2.2817460317460316
4146360,r1,MCL,R,0.6696428571428571
4146360,r1,MSD,R,0.672645739910314
4146360,r1,PR,S,8.754960317460316
4146360,r1,CKF,S,7.3040674603174605
4146360,r1,MCL,S,10.590277777777777
4146360,r1,MSD,S,11.920777279521674
4146360,r2,PR,P,0.9796626984126984
4146360,r2,CKF,P,0.5828373015873016
4146360,r2,MCL,P,1.3640873015873016
4146360,r2,MSD,P,0.8096661684105629
4146360,r2,PR,E,2.7281746031746033
4146360,r2,CKF,E,2.368551587301587
4146360,r2,MCL,E,3.125
4146360,r2,MSD,E,1.9182859990034877
4146360,r2,PR,R,30.29513888888889
4146360,r2,CKF,R,15.401785714285715
4146360,r2,MCL,R,19.9156746031746
4146360,r2,MSD,R,12.842551071250623
4146360,r2,PR,S,16.282242063492063
4146360,r2,CKF,S,13.330853174603174
4146360,r2,MCL,S,18.998015873015873
4146360,r2,MSD,S,23.654708520179373
4147703,r1,PR,P,0.0
4147703,r1,CKF,P,0.0
4147703,r1,MCL,P,0.0
4147703,r1,MSD,P,0.0
4147703,r1,PR,E,10.677083333333332
4147703,r1,CKF,E,9.00297619047619
4147703,r1,MCL,E,12.797619047619047
4147703,r1,MSD,E,10.650224215246636
4147703,r1,PR,R,0.5456349206349206
4147703,r1,CKF,R,0.13640873015873015
